filename,num_distractors,size,colourbin,selected_cell,actual_cell,correct,selected_response
image_0.png,15,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_1.png,25,30,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_2.png,5,30,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_3.png,9,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_4.png,10,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_5.png,21,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_6.png,14,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_7.png,12,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_8.png,10,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_9.png,13,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_10.png,11,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_11.png,20,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_12.png,11,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_13.png,16,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_14.png,24,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_15.png,1,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_16.png,24,30,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_17.png,2,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_18.png,11,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_19.png,16,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_20.png,25,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_21.png,0,30,0,Unknown,"(2, 1)",False,There is no image provided.
image_22.png,22,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_23.png,5,30,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
