filename,num_distractors,size,colourbin,selected_cell,actual_cell,correct,selected_response
image_0.png,10,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_1.png,11,30,0,"(1, 2)","(2, 1)",False,"Cell (1,2)."
image_2.png,25,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_3.png,13,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_4.png,22,30,0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_5.png,8,30,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_6.png,6,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)."
image_7.png,3,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_8.png,1,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_9.png,25,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_10.png,0,30,0,Unknown,"(2, 2)",False,I'm unable to respond as the image is not available.
image_11.png,13,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_12.png,18,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_13.png,12,30,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_14.png,19,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_15.png,2,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_16.png,3,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_17.png,4,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_18.png,22,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_19.png,4,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_20.png,2,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)."
image_21.png,3,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_22.png,13,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_23.png,17,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_24.png,25,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_25.png,25,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_26.png,24,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_27.png,12,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
